District,Sector,Top 1 Crop,Top 2 Crop,Top 3 Crop,Top 4 Crop,Top 5 Crop,,,,,
Nyarugenge,Gitega,Coffee,Avocado,Tea,Maize,Beans,,,,,
Nyarugenge,Kanyinya,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyarugenge,Kigali,Avocado,Coffee,Tea,Maize,Beans,,,,,
Nyarugenge,Kimisagara,Coffee,Tea,Avocado,Maize,Beans,,,,,
Nyarugenge,Mageregere,Coffee,Tea,Watermelon,Maize,Beans,,,,,Avocado
Nyarugenge,Muhima,Coffee,Tea,Avocado,Maize,Beans,,,,,Coffee
Nyarugenge,Nyakabanda,Coffee,Tea,Avocado,Maize,Beans,,,,,Tea
Nyarugenge,Nyamirambo,Coffee,Tea,Avocado,Maize,Beans,,,,,Watermelon
Nyarugenge,Nyarugenge,Coffee,Tea,Avocado,Maize,Beans,,,,,Maize
Nyarugenge,Rwezamenyo,Coffee,Tea,Avocado,Maize,Beans,,,,,Beans
Gasabo,Bumbogo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gasabo,Gatsata,Coffee,Avocado,Tea,Maize,Beans,,,,,
Gasabo,Gikomero,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gasabo,Gisozi,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gasabo,Jabana,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gasabo,Jali,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gasabo,Kacyiru,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gasabo,Kimihurura,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gasabo,Kimironko,Coffee,Avocado,Tea,Maize,Beans,,,,,
Gasabo,Kinyinya,Coffee,Avocado,Tea,Maize,Beans,,,,,
Gasabo,Ndera,Avocado,Coffee,Tea,Maize,Beans,,,,,
Gasabo,Nduba,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gasabo,Remera,Coffee,Avocado,Tea,Maize,Beans,,,,,
Gasabo,Rusororo,Avocado,Coffee,Tea,Maize,Beans,,,,,
Gasabo,Rutunga,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Kicukiro,Gahanga,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kicukiro,Gatenga,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Kicukiro,Gikondo,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kicukiro,Kagarama,Coffee,Avocado,Tea,Maize,Beans,,,,,
Kicukiro,Kanombe,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kicukiro,Kicukiro,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kicukiro,Kigarama,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kicukiro,Masaka,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kicukiro,Niboye,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kicukiro,Nyarugunga,Coffee,Tea,Avocado,Maize,Beans,,,,,
Nyanza,Busasamana,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyanza,Busoro,Coffee,Avocado,Tea,Maize,Beans,,,,,
Nyanza,Cyabakamyi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyanza,Kibilizi,Coffee,Tea,Avocado,Maize,Beans,,,,,
Nyanza,Kigoma,Coffee,Tea,Avocado,Maize,Beans,,,,,
Nyanza,Mukingo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyanza,Muyira,Coffee,Tea,Avocado,Maize,Beans,,,,,
Nyanza,Ntyazo,Coffee,Tea,Avocado,Maize,Beans,,,,,
Nyanza,Nyagisozi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyanza,Rwabicuma,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gisagara,Gikonko,Coffee,Avocado,Tea,Maize,Beans,,,,,
Gisagara,Gishubi,Coffee,Avocado,Tea,Maize,Beans,,,,,
Gisagara,Kansi,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gisagara,Kibirizi,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gisagara,Kigembe,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gisagara,Mamba,Coffee,Avocado,Tea,Maize,Beans,,,,,
Gisagara,Muganza,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gisagara,Mugombwa,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gisagara,Mukindo,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gisagara,Musha,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gisagara,Ndora,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gisagara,Nyanza,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gisagara,Save,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyaruguru,Busanze,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyaruguru,Cyahinda,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyaruguru,Kibeho,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyaruguru,Mata,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyaruguru,Muganza,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyaruguru,Munini,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyaruguru,Ngera,Coffee,Tea,Avocado,Maize,Beans,,,,,
Nyaruguru,Ngoma,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyaruguru,Nyabimata,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyaruguru,Nyagisozi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyaruguru,Ruheru,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyaruguru,Ruramba,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyaruguru,Rusenge,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Huye,Gishamvu,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Huye,Huye,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Huye,Karama,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Huye,Kigoma,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Huye,Kinazi,Coffee,Tea,Avocado,Maize,Beans,,,,,
Huye,Maraba,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Huye,Mbazi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Huye,Mukura,Coffee,Tea,Avocado,Maize,Beans,,,,,
Huye,Ngoma,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Huye,Ruhashya,Coffee,Tea,Avocado,Maize,Beans,,,,,
Huye,Rusatira,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Huye,Rwaniro,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Huye,Simbi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Huye,Tumba,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamagabe,Buruhukiro,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamagabe,Cyanika,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamagabe,Gasaka,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamagabe,Gatare,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamagabe,Kaduha,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamagabe,Kamegeri,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamagabe,Kibirizi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamagabe,Kibumbwe,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamagabe,Kitabi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamagabe,Mbazi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamagabe,Mugano,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamagabe,Musange,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamagabe,Musebeya,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamagabe,Mushubi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamagabe,Tare,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamagabe,Uwinkingi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Ruhango,Bweramana,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Ruhango,Byimana,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Ruhango,Kabagali,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Ruhango,Kinazi,Coffee,Avocado,Tea,Maize,Beans,,,,,
Ruhango,Kinihira,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Ruhango,Mbuye,Coffee,Tea,Avocado,Maize,Beans,,,,,
Ruhango,Mwendo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Ruhango,Ntongwe,Coffee,Tea,Avocado,Maize,Beans,,,,,
Ruhango,Ruhango,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Muhanga,Cyeza,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Muhanga,Kabacuzi,Coffee,Tea,Avocado,Maize,Beans,,,,,
Muhanga,Kibangu,Coffee,Tea,Avocado,Maize,Beans,,,,,
Muhanga,Kiyumba,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Muhanga,Muhanga,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Muhanga,Mushishiro,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Muhanga,Nyabinoni,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Muhanga,Nyamabuye,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Muhanga,Nyarusange,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Muhanga,Rongi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Muhanga,Rugendabari,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Muhanga,Shyogwe,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Kamonyi,Gacurabwenge,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Kamonyi,Karama,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kamonyi,Kayenzi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Kamonyi,Kayumbu,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kamonyi,Mugina,Coffee,Avocado,Tea,Maize,Beans,,,,,
Kamonyi,Musambira,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kamonyi,Ngamba,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kamonyi,Nyamiyaga,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kamonyi,Nyarubaka,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Kamonyi,Rugarika,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kamonyi,Rukoma,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Kamonyi,Runda,Coffee,Tea,Avocado,Maize,Beans,,,,,
Karongi,Bwishyura,Coffee,Tea,Avocado,Maize,Beans,,,,,
Karongi,Gashari,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Karongi,Gitesi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Karongi,Mubuga,Coffee,Tea,Avocado,Maize,Beans,,,,,
Karongi,Murambi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Karongi,Murundi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Karongi,Mutuntu,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Karongi,Rubengera,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Karongi,Rugabano,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Karongi,Ruganda,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Karongi,Rwankuba,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Karongi,Twumba,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rutsiro,Gihango,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rutsiro,Manihira,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rutsiro,Mukura,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rutsiro,Murunda,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rutsiro,Mushonyi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rutsiro,Mushubati,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rutsiro,Nyabirasi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rutsiro,Ruhango,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rutsiro,Rusebeya,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rubavu,Bugeshi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rubavu,Busasamana,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rubavu,Cyanzarwe,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rubavu,Gisenyi,Coffee,Tea,Avocado,Maize,Beans,,,,,
Rubavu,Kanama,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rubavu,Kanzenze,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rubavu,Mudende,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rubavu,Nyakiriba,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rubavu,Nyundo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rubavu,Rubavu,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rubavu,Rugerero,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyabihu,Bigogwe,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyabihu,Jenda,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyabihu,Jomba,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyabihu,Kabatwa,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyabihu,Karago,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyabihu,Kintobo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyabihu,Mukamira,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyabihu,Muringa,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyabihu,Rambura,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyabihu,Rugera,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyabihu,Rurembo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyabihu,Shyira,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Ngororero,Bwira,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Ngororero,Gatumba,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Ngororero,Hindiro,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Ngororero,Kabaya,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Ngororero,Kageyo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Ngororero,Kavumu,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Ngororero,Matyazo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Ngororero,Muhanda,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Ngororero,Muhororo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Ngororero,Ndaro,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Ngororero,Ngororero,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Ngororero,Nyange,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Ngororero,Sovu,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rusizi,Bugarama,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rusizi,Gashonga,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rusizi,Giheke,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rusizi,Gihundwe,Coffee,Tea,Avocado,Maize,Beans,,,,,
Rusizi,Gikundamvura,Coffee,Tea,Avocado,Maize,Beans,,,,,
Rusizi,Gitambi,Coffee,Tea,Avocado,Maize,Beans,,,,,
