District,Sector,Top 1 Crop,Top 2 Crop,Top 3 Crop,Top 4 Crop,Top 5 Crop,,,,,
Rusizi,Kamembe,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rusizi,Muganza,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rusizi,Mururu,Coffee,Tea,Avocado,Maize,Beans,,,,,
Rusizi,Nkanka,Coffee,Tea,Avocado,Maize,Beans,,,,,
Rusizi,Nkombo,Coffee,Tea,Avocado,Maize,Beans,,,,,
Rusizi,Nkungu,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rusizi,Nyakabuye,Coffee,Tea,Avocado,Maize,Beans,,,,,
Rusizi,Nyakarenzo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rusizi,Nzahaha,Coffee,Tea,Avocado,Maize,Beans,,,,,
Nyamasheke,Bushekeri,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamasheke,Bushenge,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamasheke,Cyato,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamasheke,Gihombo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamasheke,Kagano,Coffee,Tea,Avocado,Maize,Beans,,,,,
Nyamasheke,Kanjongo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamasheke,Karambi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamasheke,Karengera,Coffee,Tea,Avocado,Maize,Beans,,,,,
Nyamasheke,Kirimbi,Coffee,Tea,Avocado,Maize,Beans,,,,,
Nyamasheke,Macuba,Coffee,Tea,Avocado,Maize,Beans,,,,,
Nyamasheke,Mahembe,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyamasheke,Nyabitekeri,Coffee,Tea,Avocado,Maize,Beans,,,,,
Nyamasheke,Ruharambuga,Coffee,Tea,Avocado,Maize,Beans,,,,,
Nyamasheke,Shangi,Coffee,Tea,Avocado,Maize,Beans,,,,,
Rulindo,Base,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rulindo,Burega,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rulindo,Bushoki,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rulindo,Buyoga,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rulindo,Cyinzuzi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rulindo,Cyungo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rulindo,Kinihira,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rulindo,Kisaro,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rulindo,Masoro,Coffee,Tea,Avocado,Maize,Beans,,,,,
Rulindo,Mbogo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rulindo,Murambi,Coffee,Tea,Avocado,Maize,Beans,,,,,
Rulindo,Ngoma,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rulindo,Ntarabana,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rulindo,Rukozo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rulindo,Rusiga,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rulindo,Shyrongi,Coffee,Tea,Avocado,Maize,Beans,,,,,
Rulindo,Tumba,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gakenke,Busengo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gakenke,Coko,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gakenke,Cyabingo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gakenke,Gakenke,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gakenke,Gashenyi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gakenke,Janja,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gakenke,Karambo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gakenke,Kivuruga,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gakenke,Mataba,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gakenke,Minazi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gakenke,Mugunga,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gakenke,Muhondo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gakenke,Muyongwe,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gakenke,Muzo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gakenke,Nemba,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gakenke,Ruli,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gakenke,Rusasa,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gakenke,Rushashi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Musanze,Busogo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Musanze,Cyuve,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Musanze,Gacaca,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Musanze,Gashaki,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Musanze,Kimonyi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Musanze,Kinigi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Musanze,Muhoza,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Musanze,Muko,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Musanze,Musanze,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Musanze,Nkotsi,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Musanze,Nyange,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Musanze,Remera,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Musanze,Rwaza,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Burera,Bungwe,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Burera,Butaro,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Burera,Cyanika,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Burera,Cyeru,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Burera,Gahunga,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Burera,Gatebe,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Burera,Gitovu,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Burera,Kagogo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Burera,Kinoni,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Burera,Kinyababa,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Burera,Kivuye,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Burera,Nemba,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Burera,Rugarama,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Burera,Rugengabari,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Burera,Ruhunde,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Burera,Rusarabuye,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Burera,Rwerere,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gicumbi,Bukure,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gicumbi,Bwisige,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gicumbi,Byumba,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gicumbi,Cyumba,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gicumbi,Giti,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gicumbi,Kageyo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gicumbi,Kaniga,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gicumbi,Manyagiro,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gicumbi,Miyove,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gicumbi,Mukarange,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gicumbi,Muko,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gicumbi,Mutete,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gicumbi,Nyamiyaga,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gicumbi,Nyankenke,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gicumbi,Rubaya,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gicumbi,Rukomo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gicumbi,Rushaki,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gicumbi,Rutare,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gicumbi,Ruvune,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gicumbi,Rwamiko,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gicumbi,Shangasha,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rwamagana,Fumbwe,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Rwamagana,Gahengeri,Coffee,Tea,Avocado,Maize,Beans,,,,,
Rwamagana,Gishali,Coffee,Tea,Avocado,Maize,Beans,,,,,
Rwamagana,Karenge,Coffee,Tea,Avocado,Maize,Beans,,,,,
Rwamagana,Kigabiro,Coffee,Avocado,Tea,Maize,Beans,,,,,
Rwamagana,Muhazi,Coffee,Tea,Avocado,Maize,Beans,,,,,
Rwamagana,Munyaga,Coffee,Avocado,Tea,Maize,Beans,,,,,
Rwamagana,Munyiginya,Coffee,Avocado,Tea,Maize,Beans,,,,,
Rwamagana,Musha,Coffee,Tea,Avocado,Maize,Beans,,,,,
Rwamagana,Muyumbu,Coffee,Tea,Avocado,Maize,Beans,,,,,
Rwamagana,Mwulire,Coffee,Avocado,Tea,Maize,Beans,,,,,
Rwamagana,Nyakaliro,Coffee,Avocado,Tea,Maize,Beans,,,,,
Rwamagana,Nzige,Coffee,Tea,Avocado,Maize,Beans,,,,,
Rwamagana,Rubona,Coffee,Tea,Avocado,Maize,Beans,,,,,
Nyagatare,Gatunda,Coffee,Tea,Avocado,Maize,Beans,,,,,
Nyagatare,Karama,Coffee,Avocado,Tea,Maize,Beans,,,,,
Nyagatare,Karangazi,Coffee,Avocado,Tea,Maize,Beans,,,,,
Nyagatare,Katabagemu,Coffee,Avocado,Tea,Maize,Beans,,,,,
Nyagatare,Kiyombe,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Nyagatare,Matimba,Coffee,Tea,Avocado,Maize,Beans,,,,,
Nyagatare,Mimuri,Coffee,Avocado,Tea,Maize,Beans,,,,,
Nyagatare,Mukama,Coffee,Tea,Avocado,Maize,Beans,,,,,
Nyagatare,Musheri,Coffee,Avocado,Tea,Maize,Beans,,,,,
Nyagatare,Nyagatare,Coffee,Avocado,Tea,Maize,Beans,,,,,
Nyagatare,Rukomo,Coffee,Avocado,Tea,Maize,Beans,,,,,
Nyagatare,Rwempasha,Coffee,Avocado,Tea,Maize,Beans,,,,,
Nyagatare,Rwimiyaga,Coffee,Avocado,Tea,Maize,Beans,,,,,
Nyagatare,Tabagwe,Coffee,Avocado,Tea,Maize,Beans,,,,,
Gatsibo,Gasange,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gatsibo,Gatsibo,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gatsibo,Gitoki,Coffee,Avocado,Tea,Maize,Beans,,,,,
Gatsibo,Kabarore,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gatsibo,Kageyo,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gatsibo,Kiramuruzi,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gatsibo,Kiziguro,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gatsibo,Muhura,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gatsibo,Murambi,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gatsibo,Ngarama,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gatsibo,Nyagihanga,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gatsibo,Remera,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Gatsibo,Rugarama,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gatsibo,Rwimbogo,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kayonza,Gahini,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kayonza,Kabare,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kayonza,Kabarondo,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kayonza,Mukarange,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kayonza,Murama,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Kayonza,Murundi,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kayonza,Ndego,Coffee,Avocado,Tea,Maize,Beans,,,,,
Kayonza,Nyamirama,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kayonza,Rukara,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kayonza,Ruramira,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kayonza,Rwinkwavu,Avocado,Coffee,Tea,Maize,Beans,,,,,
Kirehe,Gahara,Coffee,Avocado,Tea,Maize,Beans,,,,,
Kirehe,Gatore,Coffee,Avocado,Tea,Maize,Beans,,,,,
Kirehe,Kigarama,Coffee,Avocado,Tea,Maize,Beans,,,,,
Kirehe,Kigina,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kirehe,Kirehe,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kirehe,Mahama,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kirehe,Mpanga,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kirehe,Musaza,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kirehe,Mushikiri,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kirehe,Nasho,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kirehe,Nyamugari,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kirehe,Nyarubuye,Coffee,Tea,Avocado,Maize,Beans,,,,,
Ngoma,Gashanda,Coffee,Tea,Avocado,Maize,Beans,,,,,
Ngoma,Jarama,Coffee,Avocado,Tea,Maize,Beans,,,,,
Ngoma,Karembo,Coffee,Tea,Avocado,Maize,Beans,,,,,
Ngoma,Kazo,Coffee,Tea,Avocado,Maize,Beans,,,,,
Ngoma,Kibungo,Coffee,Tea,Avocado,Maize,Beans,,,,,
Ngoma,Mugesera,Coffee,Avocado,Tea,Maize,Beans,,,,,
Ngoma,Murama,Coffee,Avocado,Tea,Maize,Beans,,,,,
Ngoma,Mutenderi,Coffee,Avocado,Tea,Maize,Beans,,,,,
Ngoma,Remera,Coffee,Tea,Avocado,Maize,Beans,,,,,
Ngoma,Rukira,Coffee,Tea,Avocado,Maize,Beans,,,,,
Ngoma,Rukumberi,Coffee,Tea,Avocado,Maize,Beans,,,,,
Ngoma,Rurenge,Coffee,Tea,Avocado,Maize,Beans,,,,,
Ngoma,Sake,Coffee,Avocado,Tea,Maize,Beans,,,,,
Ngoma,Zaza,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Gashora,Coffee,Tea,Avocado,Maize,Beans,,,,,
Bugesera,Juru,Coffee,Tea,Avocado,Maize,Beans,,,,,
Bugesera,Kamabuye,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Mareba,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Mayange,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Musenyi,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Mwogo,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Ngeruka,Coffee,Tea,Avocado,Maize,Beans,,,,,
Bugesera,Ntarama,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Nyamata,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Nyarugenge,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Rilima,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Ruhuha,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Rweru,Coffee,Tea,Avocado,Maize,Beans,,,,,
Bugesera,Shyara,Coffee,Tea,Avocado,Maize,Beans,,,,,
